year,value
1960,360000
1961,390000
1962,410000
1963,430000
1964,460000
1965,480000
1966,510000
1967,540000
1968,570000
1969,600000
1970,630000
1971,660000
1972,710000
1973,680000
1974,720000
1975,780000
1976,830000
1977,900000
1978,1000000
1979,990000
1980,970000
1981,970000
1982,990000
1983,1030000
1984,1130000
1985,1240000
1986,1370000
1987,1410000
1988,1460000
1989,1510000
1990,1440000
1991,1330000
1992,1330000
1993,1470000
1994,1590000
1995,1740000
1996,1810000
1997,1760000
1998,1780000
1999,1860000
2000,1910000
2001,1930000
2002,1900000
2003,2080000
2004,2360000
2005,2790000
2006,3360000
2007,3830000
2008,3740000
2009,3960000
2010,4270000
2011,4700000
2012,4510000
2013,4750000
2014,4940000
2015,5450000
2016,6110000
2017,6640000
2018,7230000
2019,7060000
2020,2960000
2021,4220000
2022,5790000
2023,6500000
2024,7010000
2025,7550000
2026,8180000
2027,8870000
2028,9650000
2029,10470000
2030,11300000
2031,12160000
2032,12990000
2033,13850000
2034,14760000
2035,15710000
2036,16720000
2037,17780000
2038,18900000
2039,20090000
2040,21350000
2041,22730000
2042,24200000
2043,25770000
2044,27420000
2045,29170000
2046,31020000
2047,32960000
2048,35000000
2049,37140000
2050,39390000
2051,41640000
2052,43980000
2053,46430000
2054,48970000
2055,51620000
2056,54360000
2057,57190000
2058,60090000
2059,63060000
2060,66030000
2061,68910000
2062,71840000
2063,74800000
2064,77790000
2065,80740000
2066,83660000
2067,86610000
2068,89560000
2069,92520000
2070,95490000
2071,98510000
2072,101530000
2073,104540000
2074,107520000
2075,110460000
2076,113350000
2077,116210000
2078,119150000
2079,122170000
2080,125280000
2081,128400000
2082,131430000
2083,134410000
2084,137350000
2085,140250000
2086,143210000
2087,146230000
2088,149200000
2089,152030000
2090,154690000
2091,157290000
2092,159810000
2093,162260000
2094,164650000
2095,166980000
2096,169160000
2097,171190000
2098,173070000
2099,174890000
2100,176670000
